subject,difficulty,hours_available,deadline_days,importance,study_type,previous_score,actual_hours_needed
English,4,1,14,5,Conceptual,59,5.4
Physics,2,1,13,5,Practical,46,5.55
Physics,2,3,14,5,Practical,42,5.62
Machine Learning,5,1,13,4,Practical,92,5.1
Math,1,4,1,3,Conceptual,65,8.88
Math,3,2,7,5,Theory,54,4.9
Statistics,4,4,6,4,Theory,52,5.8
Math,5,2,14,4,Practical,90,4.89
Machine Learning,3,1,13,4,Conceptual,75,3.42
Physics,4,7,13,3,Theory,81,2.08
Biology,3,2,3,1,Theory,56,3.01
AI,4,1,2,2,Conceptual,81,10.51
Math,4,2,15,2,Theory,70,1.81
Statistics,3,5,11,1,Theory,41,2.32
Math,1,5,1,3,Theory,94,4.99
Statistics,1,6,1,1,Conceptual,45,5.04
Computer Science,3,6,15,4,Practical,83,3.42
Chemistry,1,2,5,1,Conceptual,68,2.02
AI,4,5,6,3,Practical,42,9.48
Physics,1,3,3,3,Practical,73,4.62
AI,4,8,15,1,Conceptual,56,2.75
Computer Science,1,1,13,5,Practical,50,4.15
Math,5,1,5,1,Conceptual,71,3.79
History,5,5,7,4,Theory,48,6.24
Geography,5,2,5,3,Practical,59,11.46
English,1,6,7,2,Theory,89,0.81
Geography,3,4,10,1,Theory,59,1.79
Physics,5,7,11,2,Theory,58,2.8
Physics,2,7,13,1,Conceptual,73,1.67
Physics,4,7,3,4,Theory,66,9.62
Computer Science,4,4,1,2,Practical,46,27.24
Biology,5,7,14,4,Conceptual,90,3.91
Economics,3,2,4,4,Theory,66,5.89
Programming,3,7,6,1,Practical,50,4.5
AI,2,5,11,1,Conceptual,72,1.78
Math,5,5,14,5,Conceptual,70,5.73
English,4,5,4,3,Theory,69,5.79
Programming,2,5,4,5,Theory,54,5.47
Economics,4,1,14,1,Theory,58,1.8
AI,1,2,1,5,Theory,89,8.35
History,2,8,7,1,Theory,94,0.65
Programming,1,2,1,1,Theory,46,3.33
Programming,4,1,8,1,Conceptual,61,3.07
Biology,3,4,1,4,Theory,84,19.71
Math,2,1,12,2,Conceptual,79,1.81
English,3,4,10,3,Conceptual,54,4.37
AI,3,7,12,4,Conceptual,51,4.75
History,5,8,9,3,Theory,44,4.46
Physics,5,5,7,1,Theory,71,2.07
AI,2,5,2,3,Conceptual,80,8.16
Economics,3,8,11,5,Conceptual,60,5.19
Economics,5,4,13,5,Theory,77,3.81
Computer Science,5,8,15,4,Practical,42,7.48
History,1,2,2,3,Practical,66,6.54
Programming,1,5,15,3,Conceptual,42,3.26
Economics,4,6,3,1,Conceptual,75,4.4
Computer Science,5,6,14,5,Theory,48,4.52
Math,2,2,3,5,Practical,43,13.42
English,1,6,5,2,Practical,62,3.48
Computer Science,3,2,1,4,Conceptual,75,30.0
Economics,5,2,11,2,Theory,43,3.28
Chemistry,1,1,15,1,Conceptual,60,2.08
AI,2,7,3,1,Practical,69,3.86
Statistics,1,6,7,1,Conceptual,42,3.13
Statistics,5,6,11,2,Conceptual,73,3.48
Physics,5,4,4,1,Practical,51,6.69
Machine Learning,5,4,4,4,Conceptual,57,14.06
Machine Learning,4,2,3,5,Theory,45,12.43
Statistics,2,2,11,1,Theory,66,1.38
Chemistry,2,4,1,5,Conceptual,55,26.16
Physics,3,7,7,4,Conceptual,76,5.27
Machine Learning,2,1,13,5,Theory,48,2.89
Machine Learning,4,4,13,5,Conceptual,42,6.48
Math,3,8,10,3,Conceptual,73,3.46
English,3,8,11,1,Theory,60,1.72
AI,3,3,12,2,Practical,52,4.38
Physics,4,6,6,3,Conceptual,95,5.04
Economics,3,3,1,3,Theory,92,14.66
Physics,2,3,9,4,Conceptual,62,3.96
Machine Learning,4,6,8,4,Conceptual,91,5.23
Math,5,7,4,5,Theory,57,11.38
English,1,3,13,1,Theory,67,1.18
Chemistry,2,1,10,4,Conceptual,94,2.21
English,3,8,4,5,Conceptual,75,10.2
Physics,2,6,13,5,Conceptual,70,3.29
English,4,7,9,1,Theory,84,1.22
Physics,3,3,6,5,Practical,64,9.66
Physics,5,8,9,4,Conceptual,85,6.05
Biology,5,5,10,1,Theory,72,1.7
Programming,1,1,2,1,Conceptual,60,3.12
Economics,4,5,13,1,Conceptual,72,2.08
Geography,2,6,8,2,Conceptual,60,3.12
Programming,3,3,13,4,Practical,68,4.69
Geography,3,2,7,2,Theory,75,2.17
Chemistry,2,4,2,5,Theory,64,9.15
Programming,3,5,10,5,Conceptual,62,5.42
Computer Science,5,6,1,4,Theory,42,33.86
Programming,5,6,15,5,Conceptual,73,5.3
History,2,7,10,5,Practical,93,3.42
AI,4,1,11,3,Conceptual,93,2.95
Programming,3,5,11,1,Conceptual,75,1.85
Economics,1,5,8,3,Theory,55,2.04
Statistics,5,7,7,1,Practical,62,4.42
Statistics,5,6,3,3,Theory,49,9.63
English,4,1,13,4,Theory,80,2.61
Statistics,5,3,10,2,Theory,73,2.46
English,2,2,3,5,Practical,73,11.62
Programming,2,4,11,3,Theory,87,1.29
English,1,2,8,1,Theory,42,2.06
Computer Science,3,6,9,1,Conceptual,47,3.34
Math,4,3,3,1,Practical,72,5.68
Machine Learning,2,5,6,1,Practical,82,2.08
Biology,3,4,4,1,Conceptual,78,2.86
Math,3,6,5,2,Practical,73,5.22
History,1,1,7,5,Conceptual,75,2.91
Physics,4,4,8,3,Practical,84,5.46
History,1,1,4,2,Conceptual,61,3.07
Computer Science,3,8,1,1,Theory,46,6.53
English,1,4,11,5,Conceptual,72,2.43
Computer Science,3,8,3,5,Conceptual,44,14.69
AI,2,3,14,5,Practical,77,3.52
Programming,5,8,4,1,Theory,76,2.77
Math,1,2,1,5,Conceptual,68,13.54
Chemistry,1,1,13,4,Practical,73,2.54
English,2,5,15,2,Conceptual,74,1.89
Physics,3,7,7,2,Theory,87,1.79
Biology,5,1,11,1,Practical,43,4.78
AI,2,7,15,2,Practical,88,1.52
English,3,1,7,4,Practical,88,5.86
Biology,1,5,13,3,Practical,45,3.99
Statistics,5,7,2,2,Practical,91,15.54
Chemistry,2,5,3,1,Theory,67,2.12
Biology,1,2,11,3,Conceptual,53,2.91
Machine Learning,2,7,13,4,Conceptual,47,4.02
Programming,5,6,7,3,Conceptual,46,7.73
English,2,2,6,1,Theory,57,1.91
Programming,3,3,7,5,Theory,49,5.06
History,1,3,13,4,Practical,73,2.54
Programming,1,8,10,3,Conceptual,84,1.49
Computer Science,3,1,6,1,Conceptual,41,4.03
Physics,1,5,7,3,Conceptual,95,1.27
English,4,3,11,3,Conceptual,81,3.53
Math,2,6,3,4,Practical,93,8.42
Programming,4,4,15,3,Practical,40,6.0
Statistics,3,1,5,5,Practical,77,10.38
Math,3,2,5,4,Theory,82,4.42
Economics,4,4,15,5,Practical,56,6.64
Physics,2,7,7,2,Theory,54,2.39
Computer Science,2,7,9,4,Practical,74,4.23
English,2,6,9,3,Practical,95,2.3
AI,2,5,4,3,Practical,80,5.7
Programming,3,1,6,3,Theory,95,2.56
Chemistry,2,3,5,2,Practical,86,3.24
Machine Learning,3,3,4,4,Practical,95,9.3
Math,5,6,5,3,Theory,53,6.3
Chemistry,1,4,15,2,Conceptual,90,0.8
Math,5,5,4,2,Practical,87,8.28
English,4,8,8,2,Theory,72,2.5
Programming,2,6,1,1,Conceptual,64,6.53
History,1,5,10,3,Theory,74,1.31
Chemistry,4,7,7,3,Theory,43,4.57
Statistics,4,2,15,1,Conceptual,92,1.02
Biology,1,2,15,2,Theory,87,0.63
English,2,5,7,2,Practical,71,3.45
Computer Science,4,1,9,5,Theory,83,4.1
History,2,4,9,4,Practical,48,5.79
Computer Science,2,3,11,5,Theory,49,3.09
Biology,4,8,11,5,Theory,80,3.55
History,2,5,2,3,Theory,72,5.7
AI,4,1,8,3,Conceptual,70,5.04
Chemistry,5,3,4,4,Conceptual,86,12.67
Chemistry,3,5,8,5,Theory,69,3.99
History,4,4,12,3,Conceptual,91,2.83
Statistics,4,7,7,1,Practical,63,3.93
Biology,4,7,14,5,Theory,87,2.7
Machine Learning,5,5,10,1,Theory,62,2.02
Biology,4,3,5,3,Conceptual,65,7.44
Geography,4,2,14,1,Theory,46,2.19
History,2,2,9,5,Practical,44,6.69
History,3,1,3,1,Practical,86,3.84
Computer Science,5,7,3,1,Practical,63,7.22
English,1,3,8,2,Practical,48,3.87
Math,2,4,5,3,Theory,95,2.08
Statistics,3,3,12,4,Conceptual,66,4.03
History,5,4,15,2,Conceptual,46,4.19
Math,4,8,14,3,Theory,69,2.36
Programming,2,7,14,1,Theory,85,0.71
Physics,1,7,13,1,Conceptual,91,0.62
Computer Science,2,8,5,5,Theory,80,3.84
Math,1,8,2,4,Practical,85,6.9
Geography,3,1,6,4,Theory,89,3.55
AI,3,7,8,1,Conceptual,68,2.44
History,2,4,6,1,Theory,79,1.21
Computer Science,1,3,4,1,Practical,57,3.33
Physics,2,8,7,5,Practical,76,5.73
Statistics,3,8,12,1,Practical,59,3.21
Statistics,1,3,10,2,Theory,70,1.28
Physics,1,7,3,4,Practical,52,6.88
Chemistry,1,7,11,5,Conceptual,61,2.96
History,3,5,14,4,Conceptual,81,2.97
Biology,3,7,11,2,Practical,86,2.48
AI,3,7,11,5,Theory,90,2.5
Math,3,6,1,3,Practical,77,28.38
Statistics,1,2,2,1,Practical,50,4.5
Geography,5,2,2,1,Conceptual,61,7.87
Economics,2,6,10,1,Theory,45,2.08
Computer Science,2,4,10,2,Practical,79,2.46
Chemistry,4,7,10,4,Practical,80,6.0
Physics,4,5,14,1,Practical,69,2.72
Programming,1,7,7,5,Practical,40,5.74
Statistics,5,4,9,3,Theory,83,3.21
Chemistry,2,4,7,2,Practical,83,2.73
Economics,3,7,6,3,Conceptual,72,4.94
AI,2,7,1,5,Theory,78,16.7
Biology,1,4,2,4,Practical,73,7.62
Chemistry,3,7,10,4,Practical,64,5.76
Statistics,5,8,4,3,Conceptual,48,11.5
Math,5,5,8,4,Practical,81,8.64
Chemistry,1,7,14,5,Conceptual,60,2.78
English,1,4,14,1,Practical,73,1.83
Machine Learning,2,8,7,3,Theory,88,1.76
Computer Science,3,7,9,3,Practical,53,5.82
Biology,1,1,8,2,Conceptual,59,2.57
Chemistry,4,4,8,1,Conceptual,48,3.7
English,4,4,7,2,Conceptual,64,4.47
History,5,6,15,2,Conceptual,64,3.33
AI,2,1,3,1,Conceptual,73,2.9
Machine Learning,2,6,15,5,Conceptual,41,4.43
AI,5,8,3,2,Practical,61,12.34
Machine Learning,3,4,5,5,Practical,58,11.52
Economics,1,4,10,3,Practical,73,2.52
Economics,3,6,2,2,Theory,76,5.57
English,5,5,9,2,Theory,94,1.97
Geography,4,5,13,1,Theory,86,0.94
English,1,6,4,1,Conceptual,41,3.43
Chemistry,3,6,11,2,Conceptual,42,4.09
Programming,1,4,14,4,Conceptual,80,1.65
Physics,3,2,3,4,Practical,88,12.72
Computer Science,4,5,5,1,Practical,77,3.78
Machine Learning,5,6,8,4,Conceptual,62,7.82
AI,3,3,1,3,Conceptual,92,21.98
Statistics,5,5,15,5,Theory,65,3.79
Biology,3,6,6,3,Practical,72,6.18
English,5,5,2,3,Theory,85,12.48
Math,3,6,6,1,Practical,55,4.2
Chemistry,5,1,12,2,Theory,95,1.49
Statistics,4,1,4,4,Conceptual,75,10.8
Statistics,5,7,10,1,Practical,82,2.58
Geography,1,1,14,5,Conceptual,55,3.02
Machine Learning,5,1,14,2,Theory,66,2.23
English,2,4,1,1,Practical,82,7.08
Statistics,2,6,6,1,Practical,40,4.6
History,2,3,6,5,Conceptual,61,5.87
Chemistry,1,1,6,1,Theory,94,0.46
Biology,4,1,1,3,Theory,75,20.0
Economics,5,5,14,4,Practical,72,5.97
AI,1,3,2,5,Conceptual,76,7.15
Biology,4,2,9,3,Practical,64,6.16
AI,2,3,12,1,Theory,62,1.48
Computer Science,4,5,6,4,Conceptual,42,9.18
Math,1,6,14,2,Theory,53,1.73
Chemistry,4,5,8,3,Theory,93,2.62
Statistics,4,5,10,1,Practical,85,2.1
Math,5,8,7,5,Theory,66,6.8
Biology,5,1,6,3,Theory,87,4.42
Machine Learning,5,4,4,1,Conceptual,86,3.67
Machine Learning,5,1,3,5,Practical,62,27.28
History,1,8,2,1,Practical,84,2.46
Geography,1,7,7,5,Practical,78,3.46
AI,5,2,5,4,Conceptual,64,11.33
Machine Learning,2,6,15,5,Practical,95,2.3
Statistics,5,7,11,2,Practical,65,4.83
Physics,5,5,9,2,Practical,47,6.51
Physics,5,2,11,1,Conceptual,58,3.11
Biology,1,1,12,5,Practical,65,3.35
Computer Science,4,5,2,4,Theory,46,14.53
History,1,4,13,3,Conceptual,82,1.42
AI,5,2,3,3,Practical,77,16.38
Statistics,3,7,9,2,Conceptual,44,4.29
Chemistry,3,7,4,2,Conceptual,91,4.03
Chemistry,1,6,5,5,Theory,61,2.85
AI,1,2,5,3,Theory,86,1.41
History,2,7,7,1,Conceptual,94,0.97
Chemistry,5,8,9,4,Practical,41,10.21
Physics,4,4,8,1,Practical,64,3.66
Economics,5,7,4,4,Conceptual,89,12.53
Geography,5,3,2,4,Conceptual,93,24.34
Programming,5,6,9,1,Conceptual,90,1.81
Physics,5,5,6,5,Conceptual,60,11.92
AI,1,7,15,4,Theory,71,1.35
Machine Learning,2,6,9,3,Practical,43,5.42
Programming,2,6,15,4,Practical,44,4.96
Programming,2,8,2,2,Theory,93,3.42
Math,4,1,13,5,Practical,57,7.2
Programming,3,2,11,1,Practical,95,1.12
Physics,4,4,5,1,Practical,90,3.0
AI,2,1,12,3,Theory,67,1.86
Geography,4,2,2,3,Practical,50,21.0
Economics,5,8,13,5,Practical,78,7.09
Computer Science,4,4,7,5,Conceptual,78,7.91
Physics,5,4,15,3,Theory,70,2.56
Statistics,3,2,5,4,Theory,79,4.51
English,3,7,10,5,Practical,89,5.16
Geography,5,6,6,2,Theory,85,3.15
Physics,4,1,7,4,Theory,90,3.98
Physics,3,7,6,2,Practical,50,6.0
Economics,1,5,14,5,Conceptual,84,1.63
Physics,1,4,13,1,Conceptual,65,1.86
Statistics,1,8,7,2,Conceptual,53,2.94
Economics,3,8,12,1,Practical,43,4.17
Statistics,5,6,2,5,Theory,77,20.74
History,4,6,4,4,Theory,89,6.75
Math,2,7,4,4,Theory,47,4.9
Biology,3,4,2,1,Theory,72,3.3
Biology,2,6,13,5,Practical,90,2.91
Physics,5,3,1,5,Practical,49,78.06
Computer Science,2,1,10,4,Conceptual,58,3.94
Physics,5,1,15,2,Theory,85,1.55
Biology,5,5,9,5,Practical,47,11.51
Math,2,5,6,5,Practical,45,8.3
Chemistry,1,1,12,2,Theory,40,2.19
AI,1,6,12,4,Theory,69,1.53
Physics,4,2,7,2,Conceptual,80,3.7
History,5,4,12,5,Conceptual,66,6.63
Computer Science,3,1,1,5,Conceptual,46,38.59
Biology,4,5,5,3,Practical,74,8.76
Physics,1,3,1,2,Theory,63,4.38
AI,2,8,5,1,Theory,81,1.25
AI,2,7,6,4,Conceptual,76,4.35
Chemistry,2,8,13,4,Conceptual,54,3.68
History,4,4,15,3,Conceptual,44,4.61
Programming,5,4,1,1,Theory,89,8.35
Chemistry,5,2,13,2,Conceptual,72,3.19
Machine Learning,2,4,7,3,Practical,70,4.37
Biology,1,2,8,3,Conceptual,75,2.1
Computer Science,4,4,14,2,Theory,44,2.71
Computer Science,1,5,10,3,Conceptual,85,1.44
Biology,5,1,7,3,Theory,95,3.59
Economics,1,7,10,1,Theory,43,1.98
Computer Science,3,6,9,5,Practical,49,8.06
History,3,5,11,1,Theory,50,2.04
English,2,1,3,1,Conceptual,86,2.27
English,4,3,15,1,Practical,79,2.06
AI,5,2,12,5,Practical,52,9.13
Math,2,3,15,4,Theory,73,1.72
Biology,4,8,11,5,Practical,57,8.03
Computer Science,3,5,9,4,Practical,70,5.8
English,3,4,14,1,Conceptual,94,0.8
AI,4,6,7,1,Practical,44,5.07
Chemistry,4,1,11,2,Theory,53,2.67
Geography,5,2,11,1,Practical,71,3.1
Machine Learning,5,5,15,1,Conceptual,82,1.66
Economics,4,3,4,5,Practical,55,17.7
English,3,6,9,4,Theory,88,2.52
Math,2,3,12,5,Theory,44,3.13
Biology,3,8,6,1,Conceptual,88,1.78
Geography,3,8,7,1,Practical,42,4.77
Computer Science,5,2,9,2,Conceptual,79,3.67
Computer Science,4,6,3,4,Conceptual,51,15.15
Biology,1,1,3,2,Conceptual,91,2.03
Economics,3,7,10,5,Theory,95,2.56
English,2,8,10,4,Practical,62,4.68
Biology,1,8,11,1,Practical,95,0.57
Biology,3,4,15,1,Practical,77,1.98
Math,2,3,4,5,Conceptual,70,7.44
Machine Learning,1,7,1,2,Practical,89,6.66
English,1,5,1,3,Practical,60,11.4
Physics,2,3,9,4,Practical,69,4.53
Math,2,5,9,1,Conceptual,90,1.01
History,5,8,9,3,Theory,74,3.5
AI,4,4,4,1,Conceptual,44,5.09
Computer Science,5,2,4,3,Conceptual,64,10.73
Statistics,3,7,7,3,Conceptual,49,5.53
Biology,3,7,13,5,Theory,58,3.19
Chemistry,4,5,11,1,Conceptual,54,3.08
Economics,5,7,6,5,Theory,41,8.55
Economics,1,2,3,4,Conceptual,42,5.98
Machine Learning,1,4,11,2,Conceptual,42,3.22
English,4,8,2,2,Theory,89,6.75
Statistics,1,3,2,1,Theory,62,2.02
Programming,4,6,12,5,Practical,58,7.52
Physics,1,4,8,1,Theory,91,0.49
Economics,1,3,2,2,Conceptual,70,3.84
Geography,4,3,14,3,Theory,45,3.13
Physics,4,6,11,2,Theory,89,1.52
Chemistry,4,8,2,1,Conceptual,88,5.38
English,2,3,12,4,Practical,43,5.42
AI,2,2,14,4,Practical,50,4.71
Machine Learning,3,1,4,3,Conceptual,80,6.36
English,2,1,5,5,Conceptual,51,7.15
Math,1,6,8,3,Practical,95,1.42
Computer Science,1,5,9,4,Theory,88,1.1
Physics,2,6,8,2,Conceptual,54,3.41
Chemistry,4,3,11,3,Practical,69,5.13
English,3,3,9,4,Practical,76,5.44
Math,4,2,13,5,Theory,41,4.35
English,2,1,7,4,Practical,90,4.03
Economics,4,2,3,1,Conceptual,53,5.46
English,4,5,5,2,Theory,64,3.71
Biology,5,6,10,1,Conceptual,92,1.58
Programming,2,8,3,3,Practical,84,6.96
Biology,5,5,11,4,Conceptual,84,5.13
Biology,1,7,11,3,Theory,59,1.75
English,4,2,11,4,Theory,66,3.42
Geography,1,5,11,2,Conceptual,75,1.64
Programming,3,7,3,5,Practical,74,16.56
Chemistry,4,1,5,5,Practical,81,13.14
English,4,5,12,1,Conceptual,43,3.54
Economics,1,5,3,5,Conceptual,84,4.77
AI,1,2,9,1,Practical,85,1.23
Economics,4,6,10,4,Conceptual,83,4.66
Geography,5,8,6,3,Theory,80,4.64
History,5,4,11,5,Conceptual,72,6.8
Chemistry,4,7,4,4,Theory,87,6.82
Physics,5,5,2,3,Theory,68,13.02
Geography,3,2,6,2,Practical,47,6.18
Economics,1,8,9,3,Conceptual,81,1.71
Biology,3,6,6,2,Practical,46,6.24
Programming,2,6,1,3,Practical,51,20.94
Computer Science,4,7,1,4,Theory,70,26.56
English,2,8,13,3,Practical,66,3.42
Statistics,2,6,5,5,Conceptual,76,5.95
Physics,5,7,12,3,Practical,71,5.49
Physics,2,8,6,4,Theory,45,3.89
Geography,2,6,3,5,Conceptual,48,10.5
Math,3,4,3,4,Theory,46,8.13
Machine Learning,5,1,2,2,Conceptual,66,13.63
Computer Science,5,1,9,2,Theory,81,2.39
Programming,4,5,2,3,Practical,95,18.3
Economics,5,1,10,1,Conceptual,67,2.78
History,1,4,3,2,Practical,85,2.9
Math,2,7,8,3,Practical,48,5.37
English,1,5,13,3,Practical,85,1.59
Economics,2,4,2,4,Theory,57,7.78
Physics,5,2,1,1,Theory,54,9.47
Statistics,2,1,5,5,Conceptual,56,6.91
Computer Science,3,3,1,5,Conceptual,89,36.53
Biology,3,2,1,1,Practical,79,10.26
AI,1,4,9,2,Practical,85,1.57
Biology,5,6,9,1,Theory,46,2.62
Statistics,1,1,1,4,Practical,83,13.02
Physics,2,3,15,3,Practical,60,3.6
Physics,5,1,8,1,Practical,66,3.92
Machine Learning,1,6,6,5,Theory,85,1.81
Geography,5,1,11,4,Theory,75,3.71
Computer Science,1,5,7,4,Theory,50,2.51
Geography,1,2,3,2,Conceptual,40,4.48
Machine Learning,4,3,9,2,Practical,69,4.53
Machine Learning,1,7,13,5,Practical,87,1.93
Physics,2,3,10,3,Theory,50,2.56
English,1,1,6,1,Conceptual,63,2.18
Physics,5,3,12,1,Theory,42,2.52
History,5,3,13,2,Conceptual,52,4.15
History,4,7,6,2,Theory,58,3.48
Statistics,4,5,6,4,Conceptual,70,7.84
Physics,3,2,13,5,Practical,60,5.86
Math,2,7,2,1,Practical,89,3.66
Biology,2,3,2,2,Conceptual,69,6.29
Computer Science,2,3,11,1,Practical,59,3.01
Computer Science,3,5,4,4,Conceptual,41,10.03
Programming,4,3,12,3,Conceptual,80,3.36
Biology,4,6,6,3,Practical,41,9.54
Programming,2,2,5,5,Theory,57,4.58
Statistics,5,4,13,4,Practical,95,4.92
Physics,2,8,12,4,Theory,70,2.03
English,5,6,13,2,Conceptual,62,3.67
Economics,3,6,13,5,Practical,53,6.28
Physics,1,3,10,3,Conceptual,70,2.16
Math,4,7,2,5,Practical,46,33.24
AI,2,1,11,2,Practical,60,3.49
History,4,4,1,1,Theory,48,8.06
Statistics,3,3,10,4,Conceptual,46,5.47
Geography,4,8,9,4,Theory,75,3.64
Computer Science,5,1,3,3,Theory,49,9.63
History,5,8,4,4,Conceptual,58,14.02
Biology,4,6,1,2,Conceptual,72,20.54
Biology,3,4,10,4,Theory,62,3.14
Statistics,4,4,8,1,Conceptual,57,3.26
AI,2,7,7,2,Practical,92,2.19
Economics,3,3,10,5,Theory,60,3.68
Math,4,4,1,4,Practical,49,51.06
Physics,4,5,6,3,Conceptual,61,6.67
Economics,5,8,11,3,Theory,49,3.81
Economics,3,7,14,3,Theory,90,1.35
Machine Learning,5,5,1,5,Theory,56,41.41
Biology,3,2,15,2,Conceptual,40,3.84
Computer Science,1,6,4,2,Theory,47,2.5
Math,2,7,3,3,Conceptual,61,6.67
AI,4,2,6,1,Conceptual,89,2.13
Chemistry,3,3,10,1,Practical,52,3.78
Machine Learning,5,1,12,1,Conceptual,67,2.58
AI,2,2,3,1,Practical,71,3.74
Machine Learning,2,6,7,4,Theory,51,3.4
Computer Science,4,5,11,4,Practical,77,5.74
Programming,4,6,3,2,Theory,41,6.15
Geography,3,2,5,5,Practical,84,9.96
English,3,5,9,4,Conceptual,64,4.93
History,4,2,12,5,Practical,66,7.04
Machine Learning,5,1,4,3,Practical,66,13.29
AI,1,7,11,2,Practical,40,4.15
Computer Science,2,5,7,3,Conceptual,74,3.31
Math,1,8,2,3,Practical,65,6.6
Math,2,4,2,1,Theory,90,1.92
Statistics,4,2,3,1,Theory,83,2.68
History,2,4,5,3,Practical,43,7.02
Computer Science,2,8,5,3,Practical,51,6.54
Computer Science,3,8,6,3,Practical,54,7.26
Computer Science,2,4,14,4,Practical,92,2.19
Computer Science,5,2,11,5,Practical,63,9.04
Biology,3,6,7,2,Conceptual,70,3.5
AI,2,1,11,1,Practical,52,3.43
History,5,4,12,3,Theory,63,3.18
Computer Science,5,5,8,4,Conceptual,44,8.69
Machine Learning,5,4,12,4,Theory,46,4.39
Chemistry,4,3,15,1,Theory,51,1.99
Biology,5,7,14,3,Conceptual,94,2.86
Chemistry,5,7,8,3,Practical,71,7.37
English,5,8,5,4,Conceptual,41,12.43
Biology,2,1,8,1,Practical,75,2.25
Geography,4,4,14,2,Practical,82,2.79
Statistics,5,6,3,2,Theory,49,6.97
Physics,3,1,6,2,Theory,85,2.08
Machine Learning,5,1,6,5,Conceptual,93,10.34
Geography,4,3,6,2,Practical,54,6.76
Biology,2,5,12,3,Practical,48,4.62
Programming,4,5,15,1,Theory,89,0.78
Biology,3,3,4,2,Practical,95,4.8
Biology,2,5,2,3,Practical,60,11.4
Statistics,1,5,4,5,Theory,41,3.89
Biology,1,5,11,1,Theory,84,0.66
AI,1,1,9,5,Theory,93,1.11
Economics,5,3,3,2,Theory,51,6.9
History,3,6,4,4,Theory,53,6.3
Programming,5,1,1,5,Conceptual,76,61.15
Math,3,2,12,3,Practical,81,3.39
Economics,3,8,15,5,Theory,91,1.89
Geography,1,2,7,3,Conceptual,42,3.81
Economics,3,7,1,3,Theory,73,15.26
Math,1,1,1,3,Practical,82,10.08
AI,1,4,12,4,Practical,90,1.6
Geography,3,5,11,3,Theory,61,2.56
Computer Science,2,4,8,4,Practical,63,5.22
History,1,5,5,4,Conceptual,54,4.13
Geography,2,4,15,1,Practical,43,3.82
English,3,7,6,2,Conceptual,64,4.13
English,4,2,14,4,Practical,52,6.31
Physics,3,8,12,5,Practical,44,7.11
Geography,5,7,10,1,Theory,74,1.63
Economics,4,8,10,4,Theory,78,3.26
English,1,6,7,5,Conceptual,74,2.96
Computer Science,2,4,2,1,Conceptual,75,3.6
History,2,1,9,4,Theory,44,3.21
History,5,4,15,2,Practical,83,3.02
Chemistry,3,7,14,3,Practical,50,4.93
Machine Learning,4,6,8,1,Practical,84,2.46
Programming,1,5,14,5,Practical,55,3.77
Physics,4,4,12,1,Theory,81,1.14
Programming,4,6,4,5,Conceptual,82,12.86
English,5,4,4,5,Conceptual,86,15.67
Machine Learning,5,7,7,3,Theory,80,4.07
Physics,3,1,12,3,Practical,74,3.81
Economics,5,8,4,2,Conceptual,78,7.06
Machine Learning,5,8,14,1,Conceptual,43,3.59
Math,1,8,5,2,Theory,67,1.7
Economics,1,5,3,3,Practical,64,5.16
Economics,4,3,9,5,Conceptual,51,7.69
Statistics,2,1,1,4,Conceptual,56,21.31
History,2,7,14,4,Practical,45,5.01
Machine Learning,1,5,5,2,Theory,40,2.56
Chemistry,5,1,15,3,Practical,55,5.7
Machine Learning,4,8,2,2,Theory,68,7.42
History,2,8,11,1,Conceptual,43,3.17
Economics,4,1,10,2,Practical,89,3.06
Physics,5,7,8,5,Theory,88,5.38
Machine Learning,2,3,14,1,Conceptual,65,2.02
Computer Science,3,4,12,2,Practical,64,3.66
Geography,2,8,1,4,Practical,62,26.28
Chemistry,4,2,1,3,Theory,69,20.19
AI,3,7,12,1,Theory,67,1.46
AI,4,4,10,3,Theory,66,3.01
Computer Science,5,3,3,5,Theory,68,14.36
Economics,4,4,6,5,Conceptual,74,9.25
History,1,1,3,3,Conceptual,46,4.99
Programming,3,8,4,5,Conceptual,57,11.06
Physics,3,5,13,1,Practical,75,2.19
Machine Learning,1,8,15,5,Conceptual,52,3.1
Programming,1,6,7,1,Theory,68,1.25
Physics,3,8,12,1,Theory,77,1.14
Programming,5,3,12,5,Practical,75,7.75
Statistics,2,2,5,1,Practical,65,3.3
AI,3,6,5,5,Theory,52,6.34
Machine Learning,3,5,10,3,Conceptual,61,4.03
English,4,8,6,5,Practical,64,12.16
Physics,4,6,4,2,Theory,70,4.16
Geography,1,8,1,1,Practical,61,5.34
Machine Learning,3,6,4,1,Theory,67,2.26
Chemistry,3,2,5,4,Conceptual,77,6.86
Programming,2,8,12,2,Practical,42,4.48
Economics,5,8,6,2,Practical,59,7.46
Physics,5,1,6,1,Practical,85,3.4
Statistics,1,5,8,5,Conceptual,47,4.04
Geography,4,4,9,2,Theory,59,2.73
History,1,8,4,3,Theory,60,2.48
AI,2,2,13,4,Theory,79,1.66
Statistics,1,5,4,5,Practical,95,4.05
Physics,4,8,6,5,Practical,42,13.48
English,4,3,14,4,Conceptual,71,4.13
Biology,2,1,15,1,Theory,62,1.43
English,5,1,4,2,Practical,58,10.02
Statistics,1,4,4,2,Theory,93,1.02
History,3,6,9,5,Conceptual,93,4.34
Chemistry,2,2,5,4,Conceptual,51,6.19
Economics,5,3,14,2,Theory,46,2.87
